country,gender,age,year
SRB,žena,<60; 65),2023
VNM,žena,<20; 25),2023
VNM,žena,<50; 55),2023
VNM,žena,<70; 75),2023
ZAF,žena,<15; 20),2023
ZAF,žena,<45; 50),2023
ZAF,žena,<55; 60),2023
ESP,žena,<55; 60),2023
ESP,žena,<60; 65),2023
SDN,žena,<40; 45),2023
SWE,žena,<50; 55),2023
TUR,žena,<5; 10),2023
TUR,žena,<15; 20),2023
UKR,žena,<55; 60),2023
GBR,žena,<45; 50),2023
GBR,žena,<60; 65),2023
UZB,žena,<0; 5),2023
UZB,žena,<40; 45),2023
UZB,žena,<50; 55),2023
TUR,žena,<0; 5),2023
UKR,žena,<75; 80),2023
XXA,žena,<45; 50),2023
XXA,žena,<30; 35),2023
XXA,žena,<75; 80),2023
XXX,žena,<35; 40),2023
XXX,žena,<30; 35),2023
XXX,žena,<50; 55),2023
ALB,muž,<35; 40),2023
AGO,muž,<45; 50),2023
BGD,muž,<5; 10),2023
AUS,muž,<55; 60),2023
CMR,muž,<5; 10),2023
COL,muž,<0; 5),2023
COL,muž,<15; 20),2023
COL,muž,<20; 25),2023
BGD,muž,<25; 30),2023
CMR,muž,<55; 60),2023
CMR,muž,<10; 15),2023
CRI,muž,<45; 50),2023
BEN,muž,<50; 55),2023
BEN,muž,<60; 65),2023
COD,muž,<20; 25),2023
CRI,muž,<25; 30),2023
HRV,muž,<15; 20),2023
HRV,muž,<50; 55),2023
DOM,muž,<20; 25),2023
DOM,muž,<30; 35),2023
DOM,muž,<40; 45),2023
ECU,muž,<15; 20),2023
ETH,muž,<85; N),2023
EST,muž,<15; 20),2023
EST,muž,<25; 30),2023
FIN,muž,<80; 85),2023
GEO,muž,<25; 30),2023
GIN,muž,<50; 55),2023
IRL,muž,<85; N),2023
ISR,muž,<0; 5),2023
ISR,muž,<5; 10),2023
ISR,muž,<25; 30),2023
ISR,muž,<65; 70),2023
GIN,muž,<65; 70),2023
KEN,muž,<5; 10),2023
LBY,muž,<10; 15),2023
LTU,muž,<40; 45),2023
LUX,muž,<55; 60),2023
LVA,muž,<70; 75),2023
MLI,muž,<55; 60),2023
MLI,muž,<65; 70),2023
MUS,muž,<30; 35),2023
MUS,muž,<55; 60),2023
MNE,muž,<75; 80),2023
MAR,muž,<45; 50),2023
PER,muž,<80; 85),2023
GNB,muž,<70; 75),2023
